이름,국가,키(cm),개인기,골결,드리블,중거리,크로스,패스,헤더,몸싸움,가속도,주력,점프거리,균형감각,일대일 마크,태클,수비위치선정,예측력
Jamal MUSIALA,Germany,186,18,15,19,14,9,15,13,10,15,15,12,16,9,11,9,15
Nick WOLTEMADE,Germany,198,16,14,16,12,8,14,13,15,12,14,17,18,8,9,8,14
Oliver BAUMANN,Germany,187,11,1,2,3,1,12,7,13,8,10,15,12,1,3,16,16
Pascal Alexander GROß,Germany,181,15,11,12,14,17,16,10,11,9,10,10,12,11,11,12,14
Maximilian BEIER,Germany,185,13,14,13,12,9,11,13,10,16,17,13,11,7,8,7,14
Nico Cédric SCHLOTTERBECK,Germany,191,13,7,12,13,12,16,14,16,13,14,16,16,14,17,15,15
Angelo Nicolas STILLER,Germany,183,15,8,12,12,13,17,11,12,12,11,11,14,12,12,14,14
Florian Richard WIRTZ,Germany,176,19,14,18,14,13,18,7,10,14,15,7,14,8,10,8,15
Nathaniel Christopher BROWN,Germany,178,14,8,13,10,14,13,7,9,14,16,8,12,10,15,11,13
Leroy Aziz SANÉ,Germany,183,16,12,17,16,12,15,8,11,16,17,12,12,7,8,8,15
Nadiem AMIRI,Germany,180,16,12,15,16,13,15,7,13,12,12,8,13,10,12,11,14
Alexander NÜBEL,Germany,193,12,2,3,3,2,13,7,13,8,8,17,12,1,2,12,12
David RAUM,Germany,181,12,8,12,11,17,12,8,13,15,16,11,12,11,12,11,13
Felix Kalu NMECHA,Germany,190,16,10,15,12,11,15,13,14,13,16,15,16,10,12,12,13
Malick THIAW,Germany,194,12,7,9,7,8,12,14,16,11,14,16,14,15,15,14,14
Forzan Assan OUÉDRAOGO,Germany,191,15,10,15,13,9,13,12,11,13,13,14,12,8,10,9,12
Deniz UNDAV,Germany,179,15,15,13,13,10,14,14,15,12,12,11,16,8,9,9,16
Lawrence Ati ZIGI,Ghana,188,8,1,1,3,2,10,10,14,8,7,14,13,3,3,13,13
Alidu SEIDU,Ghana,173,11,6,10,9,11,10,11,15,14,15,11,15,13,14,12,12
Caleb Marfo YIRENKYI,Ghana,182,12,6,9,8,8,14,11,14,14,14,11,12,14,14,13,14
Jonas Adjei ADJETEY,Ghana,188,9,4,7,7,5,10,16,17,12,13,14,13,13,15,12,12
Thomas Teye PARTEY,Ghana,185,16,10,14,14,11,15,13,14,11,12,14,14,12,14,15,16
Abdul Mumin SULEMAN,Ghana,188,14,6,13,6,5,14,14,14,15,15,15,13,15,16,14,14
Abdul Fatawu ISSAHAKU,Ghana,177,14,13,16,14,12,13,6,13,17,15,8,12,6,7,10,11
Kwasi SIBO,Ghana,182,13,9,8,14,10,12,12,14,12,14,10,12,14,14,12,13
Jordan Pierre AYEW,Ghana,182,12,11,13,10,12,11,12,12,13,12,11,13,10,10,12,13
Solomon Brandon Michael Clarke THOMAS-ASANTE,Ghana,180,10,12,12,10,9,8,10,16,16,16,9,14,6,6,7,7
Antoine Serlom SEMENYO,Ghana,185,14,15,16,13,11,12,9,14,16,15,9,14,5,7,7,11
Joseph Tetteh ANANG,Ghana,190,8,1,1,1,1,11,1,12,10,10,15,10,1,1,10,10
Christopher Bonsu BAAH,Ghana,172,12,11,13,12,12,11,8,7,15,12,5,14,7,7,9,11
Gideon MENSAH,Ghana,178,12,6,13,8,13,12,11,12,16,16,11,12,12,14,10,12
Elisha OWUSU,Ghana,182,12,8,10,9,8,13,11,14,13,12,10,14,14,14,15,14
Benjamin ASARE,Ghana,188,13,7,13,9,12,15,11,13,13,14,12,12,12,15,12,13
Abdul Rahman BABA,Ghana,180,13,10,12,10,12,11,11,11,13,14,11,13,11,14,10,12
Jerome OPOKU,Ghana,197,10,5,8,8,7,12,15,17,7,16,19,5,15,13,13,14
Inaki WILLIAMS ARTHUER,Ghana,186,14,15,14,10,11,10,13,13,17,17,12,11,7,7,13,12
Augustine BOAKYE,Ghana,178,11,12,12,8,12,12,8,8,15,16,9,10,6,9,4,10
Kojo Peprah OPPONG,Ghana,188,12,7,11,8,9,13,12,12,13,14,14,13,13,14,11,11
Kamal Deen SULEMANA,Ghana,174,14,10,15,10,10,14,5,7,18,18,8,8,3,6,5,12
Derrick LUCKASSEN,Ghana,188,12,7,10,11,9,13,14,15,12,13,12,14,14,13,13,13
Ernest Nuamah APPIAH,Ghana,178,15,12,16,11,13,13,9,10,16,16,10,9,4,4,9,14
Prince Kwabena ADU,Ghana,179,13,15,12,8,8,9,8,13,15,15,11,15,3,5,5,10
Marvin Elom SENAYA,Ghana,179,14,7,11,9,10,13,9,9,15,15,10,11,12,12,12,12
Johny PLACIDE,Haiti,181,7,2,9,3,3,11,9,14,10,8,12,11,1,3,11,13
Carlens Jean Fedlaire Ruby ARCUS,Haiti,180,11,7,11,7,12,13,10,13,14,15,12,12,11,13,11,11
Keeto THERMONCY,Haiti,185,9,4,7,4,5,10,12,13,12,11,13,11,11,12,11,10
Ricardo ADE,Haiti,190,8,5,8,6,7,10,15,16,11,12,14,14,15,14,16,14
Hannes Piterson D DELCROIX,Haiti,185,12,8,8,10,8,13,14,13,14,12,13,13,13,13,14,13
Carl Fred SAINTE,Haiti,185,10,6,6,7,7,11,13,14,11,12,11,12,10,11,10,10
Derrick Burckley ETIENNE JR,Haiti,179,13,10,12,8,9,11,6,10,15,14,9,12,7,9,9,10
Martin Yves Roberns Didier EXPERIENCE,Haiti,178,10,8,11,10,14,12,10,11,12,12,9,12,13,12,13,12
Duckens NAZON,Haiti,181,11,11,11,7,3,11,11,15,13,12,13,16,7,10,9,13
Jean Ricner BELLEGARDE,Haiti,170,15,9,15,12,13,13,8,15,14,15,7,12,8,9,8,13
Don Deedson LOUICIUS,Haiti,178,12,12,12,11,9,10,8,11,14,14,9,10,5,6,5,12
Alexandre Jr PIERRE,Haiti,190,1,1,1,1,1,8,1,13,8,8,14,12,1,1,11,11
Markhus LACROIX,Haiti,175,13,7,11,6,11,11,10,11,13,12,10,9,13,14,13,11
Garven-Michee METUSALA,Haiti,185,8,9,8,5,8,10,11,12,10,10,11,10,11,12,12,11
Ruben Fritzner PROVIDENCE,Haiti,178,12,7,11,7,8,10,7,10,13,13,8,10,4,4,5,7
Lenny Alvin Pico JOSEPH,Haiti,183,12,11,14,7,12,12,11,8,13,14,11,13,10,8,6,9
Danley JEAN JACQUES,Haiti,182,10,10,10,13,10,11,8,12,13,13,10,13,11,12,13,14
Wilson ISIDOR,Haiti,186,14,15,12,13,10,11,12,11,15,15,12,12,5,9,9,13
Yassin Enzo FORTUNE,Haiti,186,13,12,13,12,11,9,8,13,14,14,13,12,5,4,4,8
Frantzdy PIERROT,Haiti,194,11,13,9,11,9,11,16,17,10,12,16,17,7,6,5,12
Josue Jeremie CASIMIR,Haiti,178,12,11,12,11,14,12,8,15,15,15,9,13,12,9,6,11
Jean-Kévin DUVERNE,Haiti,186,12,6,10,6,10,12,14,14,12,11,14,13,13,13,13,12
Josue DUVERGER,Haiti,187,7,1,1,1,1,11,1,12,9,7,12,10,1,1,11,8
Wilguens Raphael Polynice PAUGAIN,Haiti,180,10,9,5,8,10,11,12,12,11,12,13,11,12,12,11,11
Dominique Celidor SIMON,Haiti,179,11,10,10,12,5,12,9,11,12,10,8,9,9,10,12,11
Olivier Woodensky PIERRE,Haiti,180,7,3,2,7,4,7,10,13,9,7,17,8,14,10,11,14
Ali Reza SAFARBEIRANVAND,IR Iran,195,8,2,3,3,3,12,8,15,9,11,16,9,2,2,12,12
Saleh HARDANI KHERAD,IR Iran,176,12,7,12,8,12,10,9,8,14,13,8,13,9,9,9,10
Ehsan HAJI SAFI,IR Iran,176,12,9,10,12,13,13,9,12,10,10,9,12,10,11,12,12
Shojae KHALILZADEH,IR Iran,182,11,5,6,4,8,11,15,13,9,8,10,13,13,13,13,13
Milad MOHAMMADIKESHMARZI,IR Iran,175,11,7,11,10,11,10,10,11,14,13,9,12,11,12,10,11
Saeid EZATOLAHI AFAGH,IR Iran,190,14,11,12,12,12,14,14,14,9,12,15,11,11,12,12,13
Alireza JAHANBAKHSH JIRANDEH,IR Iran,180,14,12,14,14,14,14,9,10,11,11,11,12,6,5,7,11
Mohammad MOHEBBI,IR Iran,185,14,13,14,11,9,12,13,13,15,15,13,13,5,7,4,6
Mehdi TAREMI,IR Iran,187,15,14,12,11,11,14,13,13,12,13,14,14,6,8,8,14
Mehdi GHAYEDI,IR Iran,166,15,13,16,12,12,13,5,4,16,8,2,16,5,6,6,13
Ali ALIPOURGHARA,IR Iran,181,12,13,12,11,8,9,13,12,14,13,12,12,4,7,8,10
Seyedpayam NIAZMAND,IR Iran,192,10,1,2,1,3,10,9,13,7,10,14,9,3,3,13,12
Mohammadhossein KANANI ZADEGAN,IR Iran,188,11,3,8,9,8,11,16,15,11,12,12,12,14,13,12,12
Seyed Saman GHODDOOS,IR Iran,176,14,11,14,12,13,13,9,11,12,9,8,15,8,10,10,13
Roozbeh CHESHMI,IR Iran,192,11,7,9,10,7,12,15,16,8,11,16,10,12,14,12,14
Mahdi TORABI,IR Iran,180,14,11,14,13,12,14,8,11,13,13,10,13,5,7,8,8
Arya YOUSEFI,IR Iran,181,12,7,12,9,11,11,10,9,14,14,10,11,9,10,9,10
Amirhossein HOSSEINZADEHTAZEHGHESHLAGH,IR Iran,178,12,14,13,8,10,13,10,9,14,14,9,14,8,7,7,11
Ali NEMATI,IR Iran,182,11,6,10,11,11,12,13,14,10,10,14,12,11,12,12,10
Shahriyar MOGHANLOO,IR Iran,192,13,14,12,13,9,12,14,15,11,14,15,11,5,7,5,12
Mohammad GHORBANI,IR Iran,190,14,7,10,10,10,13,13,13,11,13,13,10,9,11,12,12
Seyedhossein HOSSEINI,IR Iran,189,10,2,3,3,1,13,1,15,11,10,14,11,1,3,12,11
Ramin REZAEIANSEMESKANDI,IR Iran,184,13,11,11,9,15,13,11,12,12,12,11,12,10,12,9,13
Dennis DARGAHI,IR Iran,182,12,15,11,11,9,9,13,12,12,12,11,12,6,7,8,12
Danial IRI,IR Iran,185,12,5,4,8,1,11,12,8,13,13,15,8,14,14,14,10
Amirmohammad RAZAGHINIA,IR Iran,186,11,10,11,11,7,12,10,10,12,14,11,11,14,11,11,10
Fahad Talib Raheem RAHEEM,Iraq,192,3,3,1,1,3,8,1,6,12,10,15,8,2,3,11,10
Rebin Ghareeb Solaka ADHAMAT,Iraq,192,5,2,4,2,4,5,13,15,11,11,15,10,13,12,14,13
Hussein Haydar Hussein ALI,Iraq,182,11,5,10,9,11,10,9,9,13,14,10,12,11,12,12,11
Zaid Tahseen Abd Zaid HANTOOSH,Iraq,199,6,2,5,9,3,8,15,14,11,13,17,9,15,12,10,11
Akam Hashim Rahman RAHMAN,Iraq,184,9,3,4,4,1,6,11,12,11,10,13,14,13,11,13,13
Munaf Younus Hashim AL-TEKREETI,Iraq,190,8,5,3,1,3,10,14,14,9,10,15,8,10,13,12,13
Youssef Wali Faeq AMYN,Iraq,172,15,8,14,9,10,11,6,6,14,13,6,12,5,6,6,8
Ibrahim Bayesh Kamil AL-KAABAWI,Iraq,177,15,10,13,13,14,13,10,11,13,12,10,13,5,6,6,12
Ali Ibrahim Karim ALZUBAIDI,Iraq,184,11,10,11,6,7,8,9,13,15,16,12,13,6,7,4,10
Mohanad Ali Kadhim AL-SHAMMARI,Iraq,183,13,13,13,8,9,10,13,12,14,14,12,12,6,9,7,12
Ahmed Ihab Ahmed AHMED,Iraq,183,13,10,13,9,12,12,8,9,13,13,10,10,9,7,10,12
Jalal Hasan Hachim HACHIM,Iraq,188,8,1,1,1,1,15,2,8,12,12,9,8,3,1,12,13
Ali Yousif Hashim NAJATEE,Iraq,180,12,12,14,5,7,6,9,12,12,15,13,9,2,9,10,12
Zidane Aamar Iqbal IQBAL,Iraq,181,15,10,13,11,11,15,3,8,13,13,9,11,7,8,10,11
Ahmed Hasan Maknazi AL-DEESHAWEE,Iraq,182,11,5,7,6,10,10,7,8,13,15,10,9,10,14,12,14
Amir Fouad Aboud AL-AMMARI,Iraq,184,13,9,11,10,12,13,9,10,12,12,11,11,9,11,13,12
Ali Jasim Elaibi AL-TAMEEMI,Iraq,178,13,9,14,9,12,12,7,7,16,15,9,10,4,5,5,10
Aymen Hussein Ghadhban GHADHBAN,Iraq,196,11,14,11,10,6,8,16,15,12,14,15,11,6,6,6,12
Kevin Enkido Yakob William WILLIAM,Iraq,184,14,11,14,11,12,13,8,11,13,13,10,12,7,8,9,13
Aimar Hazar Anwar SHER,Iraq,184,13,7,12,10,12,12,6,8,11,12,10,7,13,13,13,13
Marko Jabbar Hussein HUSSEIN,Iraq,184,14,12,15,13,11,12,5,11,13,13,12,13,6,8,7,12
Ahmed Basil Fadhil AL-FADHLI,Iraq,184,10,1,3,1,1,9,7,12,9,11,12,11,1,1,11,12
Merchas Ghazi Salih SALIH,Iraq,173,13,8,11,6,13,12,12,12,14,14,6,12,11,14,13,11
Zaid Ismael Khaleel AL-DULAIMI,Iraq,185,13,7,4,10,8,10,8,7,9,12,13,5,10,13,14,12
Mustafa Saadoon Abbood AL-KORJI,Iraq,182,10,3,10,7,14,10,8,10,14,14,8,10,9,12,11,9
Frans Dhia Jirjis HADDAD,Iraq,181,10,8,10,12,11,11,13,11,12,11,12,11,12,11,12,12
Zion SUZUKI,Japan,190,12,3,8,9,7,13,5,15,11,12,15,15,8,10,13,10
Yukinari SUGAWARA,Japan,179,13,8,11,12,14,15,10,11,13,13,11,12,11,12,11,13
Shogo TANIGUCHI,Japan,183,12,7,8,5,8,11,15,12,11,11,12,12,13,14,15,14
Kou ITAKURA,Japan,188,12,7,11,8,8,13,14,13,13,14,15,14,15,14,14,14
Yuto NAGATOMO,Japan,170,10,6,10,10,10,8,10,12,14,13,8,12,11,11,12,12
Shuto MACHINO,Japan,185,14,13,12,12,10,12,12,11,13,16,12,12,7,7,7,13
Ao TANAKA,Japan,180,15,11,12,12,10,15,8,10,12,13,10,12,12,12,12,13
Takefusa KUBO,Japan,173,16,14,17,11,13,15,7,11,14,13,7,15,6,6,7,15
Keisuke GOTO,Japan,191,10,2,2,1,2,9,8,16,14,13,14,15,2,2,14,10
Ritsu DOAN,Japan,172,16,13,15,16,13,13,11,11,15,14,8,12,9,11,10,13
Daizen MAEDA,Japan,173,6,12,12,9,7,10,10,10,18,18,7,8,7,8,10,11
Keisuke OSAKO,Japan,188,10,2,2,1,2,9,8,16,14,13,14,15,2,2,14,10
Keito NAKAMURA,Japan,181,15,13,13,12,12,13,8,11,14,15,11,12,6,8,6,13
Junya ITO,Japan,176,14,13,13,11,14,13,6,9,14,13,7,12,8,7,8,12
Daichi KAMADA,Japan,180,14,12,13,13,12,13,7,10,12,13,11,13,10,12,12,12
Tsuyoshi WATANABE,Japan,186,11,7,8,11,8,10,14,13,13,13,14,14,14,14,14,14
Yuito SUZUKI,Japan,175,14,12,12,13,9,12,7,8,15,15,7,12,7,7,7,12
Ayase UEDA,Japan,182,12,15,11,14,13,10,14,13,13,13,13,14,5,5,5,14
Koki OGAWA,Japan,186,12,14,12,10,9,11,14,10,13,12,13,12,5,5,7,12
Ayumu SEKO,Japan,185,9,6,8,6,5,12,13,14,12,13,13,12,13,14,12,15
Hiroki ITO,Japan,188,13,7,11,8,12,15,13,13,13,15,14,14,15,13,15,14
Takehiro TOMIYASU,Japan,187,13,8,13,9,11,12,12,13,13,13,14,13,13,15,14,14
Tomoki HAYAKAWA,Japan,187,10,2,1,3,3,11,1,11,12,12,13,13,2,3,10,11
Kaishu SANO,Japan,176,12,7,13,8,8,12,13,14,14,15,12,16,12,14,13,16
Junnosuke SUZUKI,Japan,180,12,6,11,6,7,13,12,12,13,13,11,12,13,13,13,13
Kento SHIOGAI,Japan,180,12,15,16,12,12,12,9,10,13,12,10,12,7,6,5,15
Yazeed Mo'ien Hasan ABULAILA,Jordan,188,8,2,3,3,1,9,3,12,8,9,13,10,2,1,12,12
Mohammad Ali Hasan ABUHASHEESH,Jordan,177,6,1,2,6,12,9,9,6,14,14,10,7,10,10,11,11
Abdallah Mousa Musallam NASIB,Jordan,184,10,5,7,5,7,11,14,13,11,12,13,11,13,14,12,11
Husam Ali Mohammad ABUDAHAB,Jordan,186,8,5,1,3,2,9,14,10,14,14,12,9,13,12,12,8
Yazan Mousa Mahmoud ALARAB,Jordan,188,11,6,10,6,6,13,13,14,13,12,13,13,13,13,14,13
Amer Rasem Adel JAMOUS,Jordan,177,11,6,11,7,8,11,8,7,14,10,7,13,11,11,12,11
Mohammad Faisal Yousef ABU ZRAIQ,Jordan,168,6,1,2,6,12,9,9,6,14,14,10,7,10,10,11,11
Noor Al-Deen Mahmoud Ali AL RAWABDEH,Jordan,179,12,6,13,7,7,12,9,6,13,13,12,6,8,10,11,10
Ali Iyad Ali OLWAN,Jordan,184,12,16,12,8,10,11,8,12,13,12,11,11,6,7,6,11
Mousa Mohammad Mousa SULEIMAN,Jordan,178,13,12,16,12,9,10,7,8,16,17,7,9,6,5,6,12
Odeh Burhan Shehadeh FAKHOURY,Jordan,180,8,12,14,9,12,12,14,7,10,13,8,9,8,3,8,8
Noureddin Zaid Khaleel BANI ATEYAH,Jordan,179,13,10,13,7,12,12,9,8,13,12,8,11,6,7,7,11
Mahmoud Nayef Ahmad ALMARDI,Jordan,173,14,9,14,10,12,12,9,10,12,11,9,14,7,7,6,12
Raja'ei Ayed Fadel HASAN,Jordan,175,14,9,13,6,9,8,8,6,14,14,5,9,8,8,8,9
Ibrahim Mohammad Sami SA'DEH,Jordan,175,6,1,2,6,12,9,9,6,14,14,10,7,10,10,11,11
Mohammad Majed Jamil ABUALNADI,Jordan,186,13,8,12,9,11,11,8,8,13,12,8,13,8,9,10,11
Saleem Amer Saleem OBAID,Jordan,185,10,7,1,5,8,10,10,13,9,10,13,12,13,11,10,10
Mohammad Ahmed Mohammad TAHA,Jordan,182,6,1,2,6,12,9,9,6,14,14,10,7,10,10,11,11
Sa'ed Ahmad Salameh ALROSAN,Jordan,188,14,9,13,6,9,8,8,6,14,14,5,9,8,8,8,9
Mohannad Mahmoud Saleh ABU TAHA,Jordan,176,13,8,12,9,11,11,8,8,13,12,8,13,8,9,10,11
Nizar Mahmoud Ahmed AL-RASHDAN,Jordan,183,12,9,10,9,8,11,12,12,12,12,11,12,12,12,12,11
Abdallah Ra'ed Mahmoud ALFAKHORI,Jordan,187,9,2,3,2,3,9,1,10,10,12,12,10,3,1,12,11
Ehsan Manel Farhan HADDAD,Jordan,174,11,6,10,9,9,11,12,12,12,12,12,12,12,12,11,11
Ali Ahmad Ali AZAIZEH,Jordan,179,11,11,11,3,12,10,5,7,13,12,8,12,7,4,7,7
Mohammad Ratib Mohammad ALDAOUD,Jordan,177,13,9,12,12,12,13,12,13,13,13,13,12,13,13,13,12
Anas Said Ghazi BADAWI,Jordan,174,6,2,5,3,9,5,5,3,13,12,12,6,10,13,11,11
Seunggyu KIM,Korea Republic,189,10,1,1,2,1,10,10,12,9,9,13,12,1,3,12,13
Hanbeom LEE,Korea Republic,190,12,8,10,8,8,13,12,14,12,12,15,12,13,12,12,11
Gihyuk LEE,Korea Republic,184,11,7,9,12,12,14,10,10,13,10,10,11,9,10,13,14
Minjae KIM,Korea Republic,190,12,6,10,7,7,14,15,16,14,14,16,16,16,16,16,16
Taehyeon KIM,Korea Republic,187,11,6,11,5,9,12,13,12,15,12,16,13,10,8,13,14
Inbeom HWANG,Korea Republic,177,16,9,14,12,11,16,8,8,13,11,8,12,9,8,12,14
Heung Min SON,Korea Republic,183,17,16,11,16,12,12,5,10,15,15,10,12,5,6,7,15
Seungho PAIK,Korea Republic,182,14,9,12,10,12,14,8,11,12,12,13,13,8,11,13,12
Guesung CHO,Korea Republic,188,12,14,12,12,9,11,15,14,11,13,14,13,10,5,7,13
Jae Sung LEE,Korea Republic,180,14,12,13,10,11,13,15,9,13,12,12,10,10,12,11,14
Hee Chan HWANG,Korea Republic,177,13,15,14,10,10,11,11,11,15,14,11,13,6,8,9,12
Bumkeun SONG,Korea Republic,194,10,2,2,1,2,11,2,12,12,9,17,9,2,2,12,11
Taeseok LEE,Korea Republic,174,10,11,10,10,12,11,7,10,14,12,9,9,12,12,12,10
Wije CHO,Korea Republic,189,12,8,8,8,7,10,14,11,8,11,11,13,13,11,14,15
Moonhwan KIM,Korea Republic,173,12,8,11,8,10,12,10,12,12,13,10,13,13,12,12,12
Jinseob PARK,Korea Republic,184,13,9,11,8,10,13,13,13,12,13,12,13,13,11,14,13
Junho BAE,Korea Republic,180,13,7,13,9,11,12,8,10,15,9,9,15,7,7,12,10
Hyeongyu OH,Korea Republic,187,12,13,12,10,9,9,12,14,12,12,13,13,5,7,9,12
Kangin LEE,Korea Republic,173,16,13,16,15,13,15,8,10,14,13,8,13,6,6,8,14
Hyunjun YANG,Korea Republic,176,13,9,14,10,12,12,8,7,14,14,9,13,8,10,10,13
Hyeonwoo JO,Korea Republic,189,4,4,4,4,5,6,12,12,12,12,12,13,5,5,14,14
Youngwoo SEOL,Korea Republic,183,12,8,11,9,12,11,10,12,13,12,10,13,13,13,13,13
Jens CASTROP,Korea Republic,177,12,8,14,10,10,11,7,11,14,15,8,11,11,16,11,12
Jingyu KIM,Korea Republic,177,14,11,13,14,9,15,8,11,12,12,5,11,6,11,11,13
Jisung EOM,Korea Republic,178,13,11,14,12,12,11,11,9,14,13,13,12,9,7,6,10
Donggyeong LEE,Korea Republic,176,14,12,14,10,11,14,7,10,13,13,7,10,9,10,10,13
José Raúl RANGEL AGUILAR,Mexico,190,8,2,1,2,3,10,1,15,12,14,15,11,2,2,12,15
Jorge Eduardo SÁNCHEZ RAMOS,Mexico,175,12,6,10,6,11,11,11,9,16,15,9,11,14,14,12,12
César Jasib MONTES CASTRO,Mexico,195,11,6,7,9,7,10,15,16,8,11,16,12,14,12,14,16
Edson Omar ÁLVAREZ VELÁZQUEZ,Mexico,187,13,11,8,8,7,13,12,12,12,12,15,15,15,15,14,13
Johan Felipe VÁSQUEZ IBARRA,Mexico,184,12,9,11,10,10,12,15,13,14,12,13,14,14,15,14,15
Erik Antonio LIRA MÉNDEZ,Mexico,172,14,10,10,13,12,14,9,7,11,11,8,12,14,12,15,14
Luis Francisco ROMO BARRÓN,Mexico,182,13,11,9,12,12,13,11,12,12,14,11,15,12,12,12,13
Álvaro FIDALGO FERNÁNDEZ,Mexico,174,15,12,15,12,13,17,6,7,14,14,6,13,7,6,11,15
Raúl Alonso JIMÉNEZ RODRÍGUEZ,Mexico,188,14,14,13,13,11,13,13,13,13,13,15,14,8,9,10,13
Ernesto Alexis VEGA ROJAS,Mexico,175,15,14,15,15,12,12,13,14,14,13,13,14,5,7,13,14
Santiago Tomás GIMENEZ,Mexico,185,13,16,13,14,9,13,15,14,12,13,12,16,7,8,7,16
Carlos ACEVEDO LÓPEZ,Mexico,184,11,1,4,12,1,10,2,12,13,9,14,14,5,1,12,13
Francisco Guillermo OCHOA MAGAÑA,Mexico,190,9,3,3,7,4,11,3,12,9,10,15,12,6,7,16,12
Armando GONZÁLEZ ALBA,Mexico,179,12,14,11,13,9,12,13,9,12,11,9,9,6,6,8,12
Israel REYES ROMERO,Mexico,180,14,8,9,8,9,14,16,12,14,14,11,15,16,16,13,15
Julián Andrés QUIÑONES QUIÑONES,Mexico,180,14,15,12,12,10,12,15,12,14,13,11,14,6,7,8,15
Orbelín PINEDA ALVARADO,Mexico,169,16,10,14,12,13,14,9,8,15,14,5,12,11,10,11,12
Obed Goméz VARGAS,Mexico,175,12,9,12,8,11,13,9,9,12,11,7,12,12,12,12,13
Gilberto Rafael MORA ZAMBRANO,Mexico,168,16,12,14,11,13,14,6,5,13,12,5,13,4,6,4,8
Mateo CHÁVEZ GARCÍA,Mexico,177,13,8,12,7,12,12,7,9,14,13,9,14,12,13,12,14
César Saúl HUERTA VALERA,Mexico,172,13,12,13,12,12,13,10,13,13,12,9,12,8,7,11,12
Guillermo MARTÍNEZ AYALA,Mexico,191,11,14,12,12,7,11,16,16,9,10,16,15,6,5,7,14
Jesús Daniel GALLARDO VASCONCELOS,Mexico,178,13,11,12,12,13,13,12,7,14,14,12,11,12,14,16,13
Luis Gerardo CHÁVEZ MAGALLÓN,Mexico,178,15,10,14,15,12,13,9,10,12,13,9,13,9,13,12,13
Roberto Carlos ALVARADO HERNÁNDEZ,Mexico,176,13,14,16,13,15,13,11,9,15,13,9,12,7,7,8,13
Brian GUTIÉRREZ,Mexico,178,16,13,13,14,12,15,6,8,13,13,12,12,8,8,11,11
Yassine BOUNOU,Morocco,192,9,3,3,1,2,10,8,13,9,10,16,9,3,1,15,15
Achraf HAKIMI,Morocco,181,14,13,15,13,15,15,11,12,18,18,11,14,13,13,13,13
Noussair MAZRAOUI,Morocco,183,16,9,14,12,12,14,11,10,14,14,11,12,11,14,12,13
Sofyan AMRABAT,Morocco,183,14,10,10,11,12,16,13,16,11,12,13,13,15,15,13,14
Marwane SAADANE,Morocco,179,12,6,9,10,9,12,14,15,9,12,14,10,13,14,14,13
Ayyoub BOUADDI,Morocco,186,15,8,13,7,13,15,10,14,12,12,11,11,15,14,14,14
Chemsdine TALBI,Morocco,175,14,12,13,12,15,13,9,12,14,13,9,10,9,8,12,12
Azz-Eddine OUNAHI,Morocco,182,16,8,15,7,11,15,11,9,13,13,11,11,10,11,12,12
Souane RAHIMI,Morocco,183,15,12,14,11,12,12,10,12,15,14,11,13,6,7,7,13
Brahim ABDELKADER DIAZ,Morocco,170,16,13,16,12,13,15,6,7,16,14,6,14,7,8,9,14
Ismael SAIBARI,Morocco,185,15,11,14,12,12,13,13,12,14,14,13,12,5,6,5,11
Monir EL KAJOUI,Morocco,190,9,1,1,1,1,10,1,14,11,12,13,12,1,1,14,12
Zakaria EL OUAHDI,Morocco,175,13,12,12,12,13,12,11,12,14,14,9,12,12,12,11,11
Issa Laye Lucas Jean DIOP,Morocco,196,12,6,12,9,3,9,15,16,14,14,17,14,12,15,12,13
Samir EL MOURABET,Morocco,186,14,9,13,11,9,14,12,12,11,11,12,12,10,11,9,10
Gessime Ben Youssef Mustapha YASSINE,Morocco,172,15,12,14,13,11,11,7,6,13,14,7,12,7,7,12,10
Mohamed Amine SBAI,Morocco,175,14,11,15,12,9,12,7,8,14,12,8,13,6,7,7,10
Chadi RIAD,Morocco,187,13,6,12,7,7,12,14,13,13,14,15,14,13,13,14,13
Youssef BELAMMARI,Morocco,180,13,8,13,11,13,13,9,11,13,13,9,11,12,12,11,13
Ayoub EL KAABI,Morocco,182,12,16,11,10,6,11,16,14,14,13,13,13,8,8,7,17
Ayoube AMAIMOUNI,Morocco,178,15,6,12,8,8,10,7,3,15,15,7,11,10,7,6,9
Ahmed Reda TAGNAOUTI,Morocco,192,4,3,2,1,2,6,1,7,11,8,16,10,2,1,14,13
Bilal EL KHANNOUSS,Morocco,180,16,11,14,12,12,15,8,8,14,14,10,12,7,10,8,12
Neil Yoni EL AYNAOUI,Morocco,186,15,8,14,9,10,13,7,13,12,13,13,13,13,12,13,12
Redouane HALHAL,Morocco,188,9,2,6,6,2,10,12,12,12,12,13,12,14,12,13,11
Anass SALAH EDDINE,Morocco,180,14,4,13,4,11,13,9,10,14,14,10,12,10,10,10,11
Bart VERBRUGGEN,Netherlands,193,14,1,11,1,12,16,6,10,12,12,16,12,2,2,12,11
Lutsharel Emiliano GEERTRUIDA,Netherlands,184,13,8,12,9,11,14,14,14,13,13,13,15,13,13,13,13
Marten Elco DE ROON,Netherlands,186,12,10,10,11,10,15,14,14,11,12,14,16,14,17,16,15
Virgil VAN DIJK,Netherlands,195,16,7,10,5,4,16,17,18,14,15,17,14,16,17,17,18
Nathan Benjamin AKE,Netherlands,180,14,8,13,10,10,14,15,15,15,15,12,13,16,15,15,16
